year,holiday_name,holiday_date
2020,Saturday,2020/06/20
2020,Sunday,2020/06/21
2020,Saturday,2020/06/27
2020,Sunday,2020/06/28
2020,Saturday,2020/07/04
2020,Sunday,2020/07/05
2020,Saturday,2020/07/11
2020,Sunday,2020/07/12
2020,Saturday,2020/07/18
2020,Sunday,2020/07/19
2020,Saturday,2020/07/25
2020,Sunday,2020/07/26
2020,Saturday,2020/08/01
2020,Sunday,2020/08/02
2020,Saturday,2020/08/08
2020,Sunday,2020/08/09
2020,Saturday,2020/08/15
2020,Sunday,2020/08/16
2020,Saturday,2020/08/22
2020,Sunday,2020/08/23
2020,Saturday,2020/08/29
2020,Sunday,2020/08/30
2020,Saturday,2020/09/05
2020,Sunday,2020/09/06
2020,Saturday,2020/09/12
2020,Sunday,2020/09/13
2020,Saturday,2020/09/19
2020,Sunday,2020/09/20
2020,Saturday,2020/09/26
2020,Sunday,2020/09/27
2020,Saturday,2020/10/03
2020,Sunday,2020/10/04
2020,Saturday,2020/10/10
2020,Sunday,2020/10/11
2020,Saturday,2020/10/17
2020,Sunday,2020/10/18
2020,Saturday,2020/10/24
2020,Sunday,2020/10/25
2020,Saturday,2020/10/31
2020,Sunday,2020/11/01
2020,Saturday,2020/11/07
2020,Sunday,2020/11/08
2020,Saturday,2020/11/14
2020,Sunday,2020/11/15
2020,Saturday,2020/11/21
2020,Sunday,2020/11/22
2020,Saturday,2020/11/28
2020,Sunday,2020/11/29
2020,Saturday,2020/12/05
2020,Sunday,2020/12/06
2020,Saturday,2020/12/12
2020,Sunday,2020/12/13
2020,Saturday,2020/12/19
2020,Sunday,2020/12/20
2020,Saturday,2020/12/26
2020,Sunday,2020/12/27
