SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1709851,WCNF150417,Expired,0
2017-2018,WCRLN,1709853,WCNF150279,Expired,0
2017-2018,WCRLN,1709882,WCNF150463,Expired,0
2017-2018,WCRLN,1709887,WCNA15448,Expired,0
2017-2018,WCRLN,1709890,WCNA15431,Cancelled,0
2017-2018,WCRLN,1709891,WCNB15698,Expired,0
2017-2018,WCRLN,1709892,WCNB15113,Expired,0
2017-2018,WCRLN,1709893,WCNB15611,Expired,0
2017-2018,WCRLN,1709895,WCNA15462,Cancelled,0
2017-2018,WCRLN,1709897,WCNE150310,Expired,0
2017-2018,WCRLN,1709905,WCND151461,Expired,0
2017-2018,WCRLN,1709906,WCNF150037,Expired,0
2017-2018,WCRLN,1709907,WCNF152332,Expired,0
2017-2018,WCRLN,1709908,WCND150938,Expired,0
2017-2018,WCRLN,1709909,WCNF152656,Expired,0
2017-2018,WCRLN,1709911,WCNF150982,Expired,0
2017-2018,WCRLN,1709914,WCNF156045,Expired,0
2017-2018,WCRLN,1709916,WCNF150420,Expired,0
2017-2018,WCRLN,1709917,WCNF151134,Expired,0
2017-2018,WCRLN,1709918,WCNE151552,Cancelled,0
2017-2018,WCRLN,1709921,WCND151232,Expired,0
2017-2018,WCRLN,1709922,WCNF150910,Expired,0
2017-2018,WCRLN,1709925,WCNE150313,Expired,0
2017-2018,WCRLN,1709928,WCNF152088,Expired,0
2017-2018,WCRLN,1709956,WCND151303,Cancelled,0
2017-2018,WCRLN,1709958,WCNA15321,Expired,0
2017-2018,WCRLN,1709960,WCNA15424,Expired,0
2017-2018,WCRLN,1709961,WCNA15331,Expired,0
2017-2018,WCRLN,1709962,WCNA15254,Expired,0
2017-2018,WCRLN,1709963,WCNA15256,Expired,0
2017-2018,WCRLN,1709964,WCNA15319,Expired,0
2017-2018,WCRLN,1709965,WCNA15320,Expired,0
2017-2018,WCRLN,1709966,WCNB15254,Expired,0
2017-2018,WCRLN,1709967,WCNB15085,Expired,0
2017-2018,WCRLN,1709968,WCNB15722,Expired,0
2017-2018,WCRLN,1709969,WCNB15743,Approved,0
2017-2018,WCRLN,1709971,WCNF152403,Expired,0
2017-2018,WCRLN,1709972,WCNC15961,Cancelled,0
2017-2018,WCRLN,1709974,WCNC15450,Expired,0
2017-2018,WCRLN,1709995,WCNF151320,Expired,0
2017-2018,WCRLN,1709996,WCNE150652,Expired,0
2017-2018,WCRLN,1710008,WCND150254,Expired,0
2017-2018,WCRLN,1710009,WCNA15427,Expired,0
2017-2018,WCRLN,1710014,WCNF152087,Expired,0
2017-2018,WCRLN,1710016,WCND150359,Expired,0
2017-2018,WCRLN,1710017,WCND150454,Expired,0
2017-2018,WCRLN,1710022,WCND151420,Cancelled,0
2017-2018,WCRLN,1710023,WCND150307,Expired,0
2017-2018,WCRLN,1710024,WCND150549,Expired,0
2017-2018,WCRLN,1710062,WCNF150242,Expired,0
2017-2018,WCRLN,1710063,WCNF150471,Cancelled,0
2017-2018,WCRLN,1710064,WCND151401,Expired,0
2017-2018,WCRLN,1710065,WCNB15723,Expired,0
2017-2018,WCRLN,1710066,WCND150687,Expired,0
2017-2018,WCRLN,1710067,WCNE150330,Expired,0
2017-2018,WCRLN,1710069,WCNB15379,Expired,0
2017-2018,WCRLN,1710071,WCND150363,Expired,0
2017-2018,WCRLN,1710072,WCNF152368,Expired,0
2017-2018,WCRLN,1710075,WCND150370,Expired,0
2017-2018,WCRLN,1710084,WCNF152400,Expired,0
2017-2018,WCRLN,1710095,WCND151402,Expired,0
2017-2018,WCRLN,1710107,WCNC15520,Expired,0
2017-2018,WCRLN,1710108,WCNC15521,Expired,0
2017-2018,WCRLN,1710109,WCNC15519,Expired,0
2017-2018,WCRLN,1710110,WCNA15328,Expired,0
2017-2018,WCRLN,1710113,WCNF156278,Expired,0
2017-2018,WCRLN,1710114,WCNC15517,Expired,0
2017-2018,WCRLN,1710115,WCNC16765,Expired,0
2017-2018,WCRLN,1710116,WCNC15514,Expired,0
2017-2018,WCRLN,1710122,WCNC15513,Expired,0
2017-2018,WCRLN,1710125,WCNC15449,Expired,0
2017-2018,WCRLN,1710155,WCNB15703,Expired,0
2017-2018,WCRLN,1710156,WCNB151050,Expired,0
2017-2018,WCRLN,1710159,WCNF150075,Expired,0
2017-2018,WCRLN,1710162,WCNF150077,Expired,0
2017-2018,WCRLN,1710164,WCND150062,Expired,0
2017-2018,WCRLN,1710205,WCNF151336,Expired,0
2017-2018,WCRLN,1710235,WCND151093,Expired,0
2017-2018,WCRLN,1710257,WCNC15961,Cancelled,0
2017-2018,WCRLN,1710276,WCNB151564,Expired,0
2017-2018,WCRLN,1710279,WCNB15561,Expired,0
2017-2018,WCRLN,1710296,WCNB15064,Expired,0
2017-2018,WCRLN,1710298,WCNB15472,Expired,0
2017-2018,WCRLN,1710299,WCNB15572,Expired,0
2017-2018,WCRLN,1710300,WCNB15152,Expired,0
2017-2018,WCRLN,1710301,WCNF150462,Expired,0
2017-2018,WCRLN,1710304,WCND150996,Expired,0
2017-2018,WCRLN,1710311,WCNB15842,Expired,0
2017-2018,WCRLN,1710312,WCNB151025,Expired,0
2017-2018,WCRLN,1710314,WCNB151163,Expired,0
2017-2018,WCRLN,1710323,WCND151714,Expired,0
2017-2018,WCRLN,1710324,WCND150574,Expired,0
2017-2018,WCRLN,1710356,WCNC15479,Expired,0
2017-2018,WCRLN,1710376,WCNC15961,Expired,0
2017-2018,WCRLN,1710386,WCNF152371,Expired,0
2017-2018,WCRLN,1710391,WCND150256,Expired,0
2017-2018,WCRLN,1710395,WCNF152692,Expired,0
2017-2018,WCRLN,1710399,WCNF152231,Expired,0
2017-2018,WCRLN,1710404,WCNF151266,Expired,0
2017-2018,WCRLN,1710411,WCNE150605,Cancelled,0
2017-2018,WCRLN,1710427,WCNF152159,Expired,0
2017-2018,WCRLN,1710429,WCNF151173,Expired,0
2017-2018,WCRLN,1710434,WCNB15804,Expired,0
2017-2018,WCRLN,1710469,WCND151000,Expired,0
2017-2018,WCRLN,1710470,WCND150484,Expired,0
2017-2018,WCRLN,1710478,WCND151096,Deleted,0
2017-2018,WCRLN,1710508,WCND151210,Awaiting approval,0
2017-2018,WCRLN,1710512,WCNF152267,Expired,0
2017-2018,WCRLN,1710514,WCNF150351,Expired,0
2017-2018,WCRLN,1710516,WCNF152014,Expired,0
2017-2018,WCRLN,1710518,WCNF150304,Expired,0
2017-2018,WCRLN,1710522,WCNF150728,Expired,0
2017-2018,WCRLN,1710524,WCNF150291,Expired,0
2017-2018,WCRLN,1710526,WCNF150426,Expired,0
2017-2018,WCRLN,1710528,WCNF151631,Expired,0
2017-2018,WCRLN,1710530,WCNF150560,Expired,0
2017-2018,WCRLN,1710532,WCNF150772,Expired,0
2017-2018,WCRLN,1710534,WCNF151348,Expired,0
2017-2018,WCRLN,1710536,WCNF152732,Expired,0
2017-2018,WCRLN,1710538,WCNF151296,Expired,0
2017-2018,WCRLN,1710540,WCNF151709,Expired,0
2017-2018,WCRLN,1710544,WCNF150205,Cancelled,0
2017-2018,WCRLN,1710546,WCNF151931,Expired,0
2017-2018,WCRLN,1710548,WCNF150436,Expired,0
2017-2018,WCRLN,1710550,WCNF150344,Expired,0
2017-2018,WCRLN,1710552,WCNF150940,Expired,0
2017-2018,WCRLN,1710554,WCNF151304,Expired,0
2017-2018,WCRLN,1710556,WCNF152169,Expired,0
2017-2018,WCRLN,1710558,WCNF150423,Expired,0
2017-2018,WCRLN,1710561,WCNF150550,Expired,0
2017-2018,WCRLN,1710563,WCNF151275,Expired,0
2017-2018,WCRLN,1710564,WCND150311,Expired,0
2017-2018,WCRLN,1710566,WCNF150790,Expired,0
2017-2018,WCRLN,1710569,WCNF150461,Expired,0
2017-2018,WCRLN,1710571,WCNF152362,Expired,0
2017-2018,WCRLN,1710573,WCNF150098,Expired,0
2017-2018,WCRLN,1710575,WCNF150552,Expired,0
2017-2018,WCRLN,1710577,WCNF150023,Expired,0
2017-2018,WCRLN,1710579,WCNF151168,Expired,0
2017-2018,WCRLN,1710582,WCNF150748,Expired,0
2017-2018,WCRLN,1710584,WCNF151285,Expired,0
2017-2018,WCRLN,1710586,WCND150995,Expired,0
2017-2018,WCRLN,1710589,WCND151745,Expired,0
2017-2018,WCRLN,1710590,WCND151360,Expired,0
2017-2018,WCRLN,1710594,WCNF151204,Expired,0
2017-2018,WCRLN,1710597,WCNF150329,Expired,0
2017-2018,WCRLN,1710600,WCNF150287,Expired,0
2017-2018,WCRLN,1710603,WCNF150016,Expired,0
2017-2018,WCRLN,1710606,WCNF150188,Expired,0
2017-2018,WCRLN,1710608,WCNF150523,Expired,0
2017-2018,WCRLN,1710611,WCNF150366,Expired,0
2017-2018,WCRLN,1710614,WCNF151265,Cancelled,0
2017-2018,WCRLN,1710616,WCNF150879,Expired,0
2017-2018,WCRLN,1710619,WCNF150469,Expired,0
2017-2018,WCRLN,1710621,WCNF150534,Expired,0
2017-2018,WCRLN,1710623,WCNF150931,Expired,0
2017-2018,WCRLN,1710625,WCNF152255,Expired,0
2017-2018,WCRLN,1710627,WCNF152220,Expired,0
2017-2018,WCRLN,1710629,WCNF151629,Expired,0
2017-2018,WCRLN,1710631,WCNF152530,Expired,0
2017-2018,WCRLN,1710633,WCNF151644,Expired,0
2017-2018,WCRLN,1710635,WCNF150393,Expired,0
2017-2018,WCRLN,1710637,WCNF150035,Awaiting approval,0
2017-2018,WCRLN,1710639,WCNC15947,Awaiting approval,0
2017-2018,WCRLN,1710642,WCNF150716,Expired,0
2017-2018,WCRLN,1710644,WCNF151228,Cancelled,0
2017-2018,WCRLN,1710646,WCNF150115,Expired,0
2017-2018,WCRLN,1710648,WCNF150261,Expired,0
2017-2018,WCRLN,1710652,WCNF150325,Expired,0
2017-2018,WCRLN,1710655,WCNF152416,Expired,0
2017-2018,WCRLN,1710657,WCNF150991,Expired,0
2017-2018,WCRLN,1710660,WCNF150226,Expired,0
2017-2018,WCRLN,1710663,WCNF152051,Expired,0
2017-2018,WCRLN,1710666,WCNF150159,Expired,0
2017-2018,WCRLN,1710668,WCNF150392,Expired,0
2017-2018,WCRLN,1710670,WCNF150511,Expired,0
2017-2018,WCRLN,1710672,WCNF150030,Expired,0
2017-2018,WCRLN,1710675,WCNF151220,Expired,0
2017-2018,WCRLN,1710677,WCNF150918,Expired,0
2017-2018,WCRLN,1710679,WCNF152064,Expired,0
